league_name,club,club_id,club_url,average_market_value,total_market_value,average_market_value_eur,total_market_value_eur,source_url
A-League Men,Macarthur FC,71085,https://www.transfermarkt.com/macarthur-fc/startseite/verein/71085/saison_id/2025,€217k,€5.85m,217000.0,5850000.0,https://www.transfermarkt.com/a-league/startseite/wettbewerb/AUS1
A-League Men,Brisbane Roar,7831,https://www.transfermarkt.com/brisbane-roar/startseite/verein/7831/saison_id/2025,€190k,€5.70m,190000.0,5700000.0,https://www.transfermarkt.com/a-league/startseite/wettbewerb/AUS1
A-League Men,Central Coast Mariners,6954,https://www.transfermarkt.com/central-coast-mariners/startseite/verein/6954/saison_id/2025,€206k,€5.58m,206000.0,5580000.0,https://www.transfermarkt.com/a-league/startseite/wettbewerb/AUS1
A-League Men,Newcastle United Jets,5551,https://www.transfermarkt.com/newcastle-united-jets/startseite/verein/5551/saison_id/2025,€199k,€5.38m,199000.0,5380000.0,https://www.transfermarkt.com/a-league/startseite/wettbewerb/AUS1
Allsvenskan,Malmö FF,496,https://www.transfermarkt.com/malmo-ff/startseite/verein/496/saison_id/2024,€1.26m,€36.50m,1260000.0,36500000.0,https://www.transfermarkt.com/allsvenskan/startseite/wettbewerb/SE1
Allsvenskan,Hammarby IF,1059,https://www.transfermarkt.com/hammarby-if/startseite/verein/1059/saison_id/2024,€1.04m,€25.93m,1040000.0,25930000.0,https://www.transfermarkt.com/allsvenskan/startseite/wettbewerb/SE1
Allsvenskan,Djurgårdens IF,1044,https://www.transfermarkt.com/djurgardens-if/startseite/verein/1044/saison_id/2024,€837k,€21.75m,837000.0,21750000.0,https://www.transfermarkt.com/allsvenskan/startseite/wettbewerb/SE1
Allsvenskan,AIK,272,https://www.transfermarkt.com/aik-solna/startseite/verein/272/saison_id/2024,€693k,€20.10m,693000.0,20100000.0,https://www.transfermarkt.com/allsvenskan/startseite/wettbewerb/SE1
Allsvenskan,BK Häcken,1109,https://www.transfermarkt.com/bk-hacken/startseite/verein/1109/saison_id/2024,€608k,€19.45m,608000.0,19450000.0,https://www.transfermarkt.com/allsvenskan/startseite/wettbewerb/SE1
Allsvenskan,IF Elfsborg,1101,https://www.transfermarkt.com/if-elfsborg-boras/startseite/verein/1101/saison_id/2024,€796k,€19.10m,796000.0,19100000.0,https://www.transfermarkt.com/allsvenskan/startseite/wettbewerb/SE1
