league_name,club,club_id,club_url,average_market_value,total_market_value,average_market_value_eur,total_market_value_eur,source_url
Belgian Pro League,KAA Gent,157,https://www.transfermarkt.com/kaa-gent/startseite/verein/157/saison_id/2025,€2.17m,€60.85m,2170000.0,60850000.0,https://www.transfermarkt.com/jupiler-pro-league/startseite/wettbewerb/BE1
Belgian Pro League,Royal Antwerp FC,1096,https://www.transfermarkt.com/royal-antwerpen-fc/startseite/verein/1096/saison_id/2025,€1.68m,€50.40m,1680000.0,50400000.0,https://www.transfermarkt.com/jupiler-pro-league/startseite/wettbewerb/BE1
Belgian Pro League,KVC Westerlo,968,https://www.transfermarkt.com/kvc-westerlo/startseite/verein/968/saison_id/2025,€1.56m,€45.10m,1560000.0,45100000.0,https://www.transfermarkt.com/jupiler-pro-league/startseite/wettbewerb/BE1
Belgian Pro League,KV Mechelen,354,https://www.transfermarkt.com/kv-mechelen/startseite/verein/354/saison_id/2025,€1.24m,€35.85m,1240000.0,35850000.0,https://www.transfermarkt.com/jupiler-pro-league/startseite/wettbewerb/BE1
Belgian Pro League,Oud-Heverlee Leuven,2727,https://www.transfermarkt.com/oud-heverlee-leuven/startseite/verein/2727/saison_id/2025,€1.23m,€34.30m,1230000.0,34300000.0,https://www.transfermarkt.com/jupiler-pro-league/startseite/wettbewerb/BE1
Belgian Pro League,Sint-Truidense VV,475,https://www.transfermarkt.com/vv-st-truiden/startseite/verein/475/saison_id/2025,€1.12m,€29.13m,1120000.0,29130000.0,https://www.transfermarkt.com/jupiler-pro-league/startseite/wettbewerb/BE1
Belgian Pro League,FCV Dender EH,9010,https://www.transfermarkt.com/fcv-dender-eh/startseite/verein/9010/saison_id/2025,€766k,€19.15m,766000.0,19150000.0,https://www.transfermarkt.com/jupiler-pro-league/startseite/wettbewerb/BE1
Belgian Pro League,RAAL La Louvière,3901,https://www.transfermarkt.com/raal-la-louviere/startseite/verein/3901/saison_id/2025,€474k,€12.80m,474000.0,12800000.0,https://www.transfermarkt.com/jupiler-pro-league/startseite/wettbewerb/BE1
Bundesliga,Borussia Dortmund,16,https://www.transfermarkt.com/borussia-dortmund/startseite/verein/16/saison_id/2025,€17.88m,€500.50m,17880000.0,500500000.0,https://www.transfermarkt.com/bundesliga/startseite/wettbewerb/L1
Bundesliga,Bayer 04 Leverkusen,15,https://www.transfermarkt.com/bayer-04-leverkusen/startseite/verein/15/saison_id/2025,€16.41m,€426.75m,16410000.0,426750000.0,https://www.transfermarkt.com/bundesliga/startseite/wettbewerb/L1
