club,league_name,country_name,average_rating,coach_name,stadium_name
KRC Genk,Belgian Pro League,Belgium,73,thorsten fink,Molton Road
Hellas Verona FC,Serie A,Italy,73,paolo zanetti,Sanderson Park
Deportivo Alavés,La Liga,Spain,73,eduardo german coudet,Estadio de Mendizorroza
Elche CF,La Liga,Spain,73,eder sarabia armesto,Estadio Martínez Valero
Estudiantes de La Plata,Primera División,Argentina,73,eduardo rodrigo dominguez,Stadio Classico
Genoa,Serie A,Italy,73,patrick vieira,Stadion Europa
Union Saint-Gilloise,Belgian Pro League,Belgium,73,sebastien pocognoli,Oktigann Park
Vélez Sarsfield,Primera División,Argentina,73,guillermo barros schelotto,Estadio Nacional
Club Brugge KV,Belgian Pro League,Belgium,73,nicky hayen,Ivy Lane
Real Oviedo,La Liga,Spain,73,veljko paunovic,Stadion Europa
Sheffield United,EFL Championship,England,72,chris wilder,Bramall Lane
Coventry City,EFL Championship,England,72,frank lampard,Coventry Building Society Arena
Independiente,Primera División,Argentina,72,gustavo enrique domingo quinteros desabato,Estadio Libertadores de América
Southampton,EFL Championship,England,72,william still,St. Mary's Stadium
Toulouse FC,Ligue 1 Uber Eats,France,72,carles martinez novell,Stadion Europa
Talleres,Primera División,Argentina,72,carlos alberto tevez,O Dromo
FC København,Superliga,Denmark,72,jacob neestrup hansen,Eastpoint Arena
Palermo FC,Serie B,Italy,72,filippo inzaghi,Stadio Classico
Fluminense,Serie A,Brazil,72,luis francisco zubeldia,O Dromo
Cruzeiro,Serie A,Brazil,72,wesley carvalho,O Dromo
Lanús,Primera División,Argentina,72,ricardo alberto zielinski,Stadio Classico
Bahia,Serie A,Brazil,72,rogerio mucke ceni,Estadio de las Artes
UD Almería,La Liga 2,Spain,72,joan francesc ferrer sicilia,Power Horse Stadium
FC Nantes,Ligue 1 Uber Eats,France,72,luis manuel ferreira de castro,Stade de la Beaujoire
Ferencvárosi Torna Club,Nemzeti Bajnokság I,Hungary,72,robbie keane,Stadion Neder
Birmingham City,EFL Championship,England,72,chris davies,Ivy Lane
Lecce,Serie A,Italy,72,eusebio di francesco,Stadio Classico
Grêmio,Serie A,Brazil,72,james freitas,Sanderson Park
1. FC Heidenheim 1846,Bundesliga,Germany,72,marco konrad,Molton Road
Viktoria Plzeň,Czech First League,Czechia,72,miroslav koubek,Court Lane
Pisa,Serie A,Italy,72,alberto gilardino,Stadion 23. Maj
Belgrano de Córdoba,Primera División,Argentina,72,ricardo alberto zielinski,Stadio Classico
Dynamo Kyiv,Premier League,Ukraine,72,oleksandr shovkovsky,Stadion Olympik
Shakhtar Donetsk,Premier League,Ukraine,72,arda turan,Donbass Arena
Monza,Serie B,Italy,72,paolo bianco,Court Lane
UD Las Palmas,La Liga 2,Spain,72,luis garcia fernandez,Estadio de Gran Canaria
Samsunspor,Turkish Süper Lig,Türkiye,72,thomas reis,Stadion Europa
Atlético Nacional,Primera División,Colombia,72,javier marcelo gandolfi,El Libertador
Rosario Central,Primera División,Argentina,72,ariel enrique holan,Stadio Classico
Inter Miami,Major League Soccer,United States,72,javier alejandro mascherano,Chase Stadium
Norwich City,EFL Championship,England,71,liam manning,Carrow Road
Middlesbrough,EFL Championship,England,71,rob edwards,Riverside Stadium
AS Saint-Étienne,Ligue 2 BKT,France,71,eirik horneland,Ivy Lane
Seattle Sounders FC,Major League Soccer,United States,71,brian schmetzer,Lumen Field
AJ Auxerre,Ligue 1 Uber Eats,France,71,christophe pelissier,Forest Park Stadium (Square Ground)
Newell's Old Boys,Primera División,Argentina,71,cristian gaston fabbiani,Estadio Nacional
Huracán,Primera División,Argentina,71,frank dario kudelka,El Libertador
Los Angeles FC,Major League Soccer,United States,71,steven cherundolo,BMO Stadium
West Bromwich Albion,EFL Championship,England,71,ryan mason,The Hawthorns
FC Utrecht,Eredivisie,Netherlands,71,ron jans,Ivy Lane
FC Twente,Eredivisie,Netherlands,71,john van den brom,Waldstadion
Bristol City,EFL Championship,England,71,gerhard struber,Ashton Gate
FC Basel 1893,Super League,Switzerland,71,ludovic magnin,St. Jakob-Park
FK Bodø/Glimt,Eliteserien,Norway,71,kjetil knutsen,Town Park
Wrexham,EFL Championship,England,71,phil parkinson,Crown Lane
Hull City,EFL Championship,England,71,sergej jakirovic,MKM Stadium
Alianza Lima,Liga I,Peru,71,nestor raul gorosito,Stadio Classico
Swansea City,EFL Championship,England,71,alan sheehan,Swansea.com Stadium
Famalicão,Primeira Liga,Portugal,71,daniel jose garcez pacheco,Longville Stadium
Argentinos Juniors,Primera División,Argentina,71,nicolas ignacio diez parajon,Arena del Centenario
Le Havre AC,Ligue 1 Uber Eats,France,71,didier digard,Waldstadion
Fortaleza,Serie A,Brazil,71,martin palermo,O Dromo
Dinamo Zagreb,Hrvatska nogometna liga,Croatia,71,mario kovacevic,Euro Arena
FC Lorient,Ligue 1 Uber Eats,France,71,olivier pantaloni,Molton Road
RSC Anderlecht,Belgian Pro League,Belgium,71,besnik hasi,Stade Municipal
FC Midtjylland,Superliga,Denmark,71,mike tullberg,Stadion Neder
Atlanta United,Major League Soccer,United States,71,ronny deila,Mercedes-Benz Stadium
Peñarol,Primera División,Uruguay,71,diego vicente aguirre camblor,El Libertador
FC St. Pauli,Bundesliga,Germany,71,alexander blessin,Millerntor-Stadion
FC Cincinnati,Major League Soccer,United States,71,pat noonan,Stadion Europa
Watford,EFL Championship,England,70,paulo cesar pezzolano suarez,Vicarage Road
Hajduk Split,Hrvatska nogometna liga,Croatia,70,gonzalo manuel garcia garcia,Stadion Hanguk
Preston North End,EFL Championship,England,70,paul heckingbottom,Ivy Lane
Stoke City,EFL Championship,England,70,mark robins,Stoke City FC Stadium
Queens Park Rangers,EFL Championship,England,70,julien stephan,Kiyan Prince Foundation
CD Leganés,La Liga 2,Spain,70,francisco jose lopez fernandez,Municipal de Butarque
Minnesota United FC,Major League Soccer,United States,70,cameron knowles,Stadion Hanguk
GD Estoril Praia,Primeira Liga,Portugal,70,bryant lazaro,Oktigann Park
Portland Timbers,Major League Soccer,United States,70,phil neville,Providence Park
Sampdoria,Serie B,Italy,70,massimo donati,Stadion Europa
FC Lugano,Super League,Switzerland,70,mattia croci torti,Euro Park
Vasco da Gama,Serie A,Brazil,70,fernando diniz silva,Arena d'Oro
Malmö FF,Allsvenskan,Sweden,70,anes mravac,Stade Municipal
FC Metz,Ligue 1 Uber Eats,France,70,stephane le mignan,Forest Park Stadium (Square Ground)
Cerro Porteño,División de Fútbol Profesional,Paraguay,70,jorge rodrigo bava,Estadio Nacional
Legia Warszawa,Ekstraklasa,Poland,70,edward iordanescu,Waldstadion
Godoy Cruz,Primera División,Argentina,70,walter dario ribonetto,El Libertador
Derby County,EFL Championship,England,70,john eustace,Molton Road
Defensa y Justicia,Primera División,Argentina,70,mariano soso,Arena del Centenario
Millwall FC,EFL Championship,England,70,dean holden,Ivy Lane
Eyüpspor,Turkish Süper Lig,Türkiye,70,selcuk sahin,Longville Stadium
Lech Poznań,Ekstraklasa,Poland,70,niels frederiksen,Sanderson Park
San Diego FC,Major League Soccer,United States,70,mikey varas,Estadio Nacional
NEC Nijmegen,Eredivisie,Netherlands,70,dick schreuder,Molton Road
Stade de Reims,Ligue 2 BKT,France,70,gregory poirier,Stade Municipal
BSC Young Boys,Super League,Switzerland,70,giorgio contini,Stadion Wankdorf
Colo-Colo,Primera División,Chile,70,fernando ortiz,Estadio Nacional
LDU Quito,Serie A,Ecuador,70,tiago retzalff nunes,Estadio de las Artes
Raków Częstochowa,Ekstraklasa,Poland,70,marek papszun,Longville Stadium
FCSB,Liga I,Romania,70,ilias charalambous,Waldstadion
Santa Clara,Primeira Liga,Portugal,70,vasco miguel lopes matos,Euro Park
VfL Bochum 1848,2. Bundesliga,Germany,70,uwe rosler,Vonovia Ruhrstadion
Libertad,División de Fútbol Profesional,Paraguay,70,pablo horacio guinazu,Arena del Centenario
KAA Gent,Belgian Pro League,Belgium,70,ivan leko,Stadion Neder
Hertha BSC,2. Bundesliga,Germany,70,stefan leitl,Olympiastadion
SV Darmstadt 98,2. Bundesliga,Germany,70,florian kohfeldt,Merck-Stadion
Universitario de Deportes,Liga I,Peru,70,edgardo alberto adinolfi duarte,El Monumento
Kocaelispor,Turkish Süper Lig,Türkiye,70,selcuk inan,Sanderson Park
Çaykur Rizespor,Turkish Süper Lig,Türkiye,70,ilhan palut,Stadion Neder
Columbus Crew,Major League Soccer,United States,70,wilfried nancy,Stadion Neder
New England Revolution,Major League Soccer,United States,70,caleb porter,Stadion Hanguk
Universidad de Chile,Primera División,Chile,70,gustavo alvarez,El Monumento
Gaziantep FK,Turkish Süper Lig,Türkiye,70,burak yilmaz,Stade Municipal
LA Galaxy,Major League Soccer,United States,70,greg vanney,Dignity Health Sports Park
FC Red Bull Salzburg,Bundesliga,Austria,70,thomas letsch,Red Bull Arena
Real Sporting de Gijón,La Liga 2,Spain,70,asier garitano aguirrezabal,Stade Municipal
Venezia,Serie B,Italy,70,giovanni stroppa,Town Park
Charlotte FC,Major League Soccer,United States,70,dean smith,Stadio Classico
NEOM SC,Saudi Pro League,Saudi Arabia,70,christophe galtier,Arena d'Oro
Gimnasia y Esgrima La Plata,Primera División,Argentina,70,nicolas barrero,Arena del Centenario
Club Nacional de Football,Primera División,Uruguay,70,martin ricardo liguera lopez,El Libertador
Rio Ave FC,Primeira Liga,Portugal,70,sotiris silaidopoulos,Stadion 23. Maj
RC Deportivo de La Coruña,La Liga 2,Spain,70,antonio hidalgo morilla,Waldstadion
Real Zaragoza,La Liga 2,Spain,70,gabriel fernandez arenas,El Libertador
Alanyaspor,Turkish Süper Lig,Türkiye,70,natanael joao pereira costa,Stadion Neder
Oud-Heverlee Leuven,Belgian Pro League,Belgium,70,david hubert,Forest Park Stadium (Square Ground)
Vancouver Whitecaps FC,Major League Soccer,United States,70,jesper sorensen,BC Place Stadium
Angers SCO,Ligue 1 Uber Eats,France,70,alexandre dujeux,Forest Park Stadium (Square Ground)
Blackburn Rovers,EFL Championship,England,69,valerien ismael,Ewood Park
Philadelphia Union,Major League Soccer,United States,69,bradley carnell,Forest Park Stadium (Square Ground)
Al Taawoun FC,Saudi Pro League,Saudi Arabia,69,pericles raimundo oliveira chamusca,Stade Kokoto
Independiente del Valle,Serie A,Ecuador,69,javier rabanal hernandez,Stade Municipal
Brøndby IF,Superliga,Denmark,69,steve cooper,Waldstadion
Aarhus Gymnastikforening,Superliga,Denmark,69,jakob poulsen,Euro Arena
Go Ahead Eagles,Eredivisie,Netherlands,69,melvin boel,Molton Road
1. FC Kaiserslautern,2. Bundesliga,Germany,69,torsten lieberknecht,Stadion Europa
Rosenborg BK,Eliteserien,Norway,69,alfred johansson,Forest Park Stadium (Square Ground)
Fortuna Düsseldorf,2. Bundesliga,Germany,69,daniel thioune,Düsseldorf-Arena
Platense,Primera División,Argentina,69,cristian alberto gonzalez peret,Crown Lane
SSC Bari,Serie B,Italy,69,fabio caserta,Stadion Olympik
San Jose Earthquakes,Major League Soccer,United States,69,bruce arena,Crown Lane
Al Shabab,Saudi Pro League,Saudi Arabia,69,imanol alguacil barrenetxea,Stade Kokoto
Albacete Balompié,La Liga 2,Spain,69,alberto gonzalez fernandez,Estadio Nacional
Holstein Kiel,2. Bundesliga,Germany,69,marcel rapp,Holstein-Stadion
Servette FC,Super League,Switzerland,69,jocelyn gourvennec,Stadion Neder
CA Banfield,Primera División,Argentina,69,pedro antonio troglio,Estadio Nacional
Montpellier HSC,Ligue 2 BKT,France,69,zoumana camara,Forest Park Stadium (Square Ground)
Casa Pia,Primeira Liga,Portugal,69,joao jorge gandara mendes pereira,Euro Arena
Hearts,Scottish Premiership,Scotland,69,derek mcinnes,Ivy Lane
Al Ain,UAE Pro League,United Arab Emirates,69,vladimir ivic,Estadio de las Artes
