club,league_name,country_name,average_rating,coach_name,stadium_name
Cardiff City,EFL League One,England,68,brian barry murphy,Cardiff City Stadium
Konyaspor,Turkish Süper Lig,Türkiye,68,recep ucar,Stadion Europa
1. FC Nürnberg,2. Bundesliga,Germany,68,miroslav klose,Max-Morlock-Stadion
Colorado Rapids,Major League Soccer,United States,68,chris armas,Euro Arena
Sporting Kansas City,Major League Soccer,United States,68,kerry zavagnin,Stadion Neder
New York City FC,Major League Soccer,United States,68,pascal jansen,Stadion Europa
Pohang Steelers,K League 1,Korea Republic,68,tae ha park,Stadion Hanguk
Hammarby Fotboll,Allsvenskan,Sweden,68,kim hellberg,Sanderson Park
Djurgårdens IF,Allsvenskan,Sweden,68,jani honkavaara,Sanderson Park
Alverca,Primeira Liga,Portugal,68,custodio miguel dias de castro,Arena d'Oro
SK Sturm Graz,Bundesliga,Austria,68,jurgen saumel,Stadion Neder
Empoli,Serie B,Italy,68,nazzareno tarantino,Euro Arena
Daejeon Citizen,K League 1,Korea Republic,68,sun hong hwang,Waldstadion
FC Seoul,K League 1,Korea Republic,68,gi dong kim,Sanderson Park
Cercle Brugge KSV,Belgian Pro League,Belgium,68,onur cinel,Ivy Lane
CD Palestino,Primera División,Chile,68,lucas alfredo bovaglio,El Monumento
Qarabağ FK,Premyer Liqa,Azerbaijan,68,qurban qurbanov,Town Park
FBC Melgar,Liga I,Peru,68,juan maximo reynoso guzman,El Monumento
Kasımpaşa SK,Turkish Süper Lig,Türkiye,68,shota arveladze,Stadio Classico
Granada CF,La Liga 2,Spain,68,juan jose rojo martin,Estadio Nuevo Los Cármenes
SD Huesca,La Liga 2,Spain,68,sergi guillo barcelo,El Alcoraz
Randers FC,Superliga,Denmark,68,rasmus bertelsen,Court Lane
LASK Linz,Bundesliga,Austria,68,maximilian ritscher,Stadion Neder
Toronto FC,Major League Soccer,United States,67,robin fraser,Crown Lane
SC Paderborn 07,2. Bundesliga,Germany,67,ralf kettemann,Benteler-Arena
Rapid Bucuresti,Liga I,Romania,67,constantin galca,Molton Road
En Avant Guingamp,Ligue 2 BKT,France,67,sylvain ripoll,Court Lane
Calcio Padova,Serie B,Italy,67,matteo andreoletti,Euro Arena
Cesena FC,Serie B,Italy,67,michele mignani,Stade Municipal
Mantova,Serie B,Italy,67,davide possanzini,Stadio Classico
Carrarese,Serie B,Italy,67,antonio calabro,Euro Park
Südtirol,Serie B,Italy,67,fabrizio castori,Longville Stadium
NAC Breda,Eredivisie,Netherlands,67,carl hoefkens,Stadion Neder
SC Heerenveen,Eredivisie,Netherlands,67,robin veldeman,Waldstadion
PEC Zwolle,Eredivisie,Netherlands,67,henry van der vegt,Molton Road
FC Groningen,Eredivisie,Netherlands,67,dick lukkien,Waldstadion
FC Luzern,Super League,Switzerland,67,mario frick,Molton Road
Deportivo Táchira,Primera División,Venezuela,67,fernando aristeguieta,El Libertador
Huddersfield Town,EFL League One,England,67,grant lee,Kirklees Stadium
Reggiana,Serie B,Italy,67,davide dionigi,Forest Park Stadium (Square Ground)
Dinamo Bucureşti,Liga I,Romania,67,zeljko kopic,Euro Park
Universidad Católica del Ecuador,Serie A,Ecuador,67,diego andres martinez carrera,El Monumento
Beijing Guoan,Super League,China PR,67,enrique setien solar,Stadion Hanguk
Cracovia,Ekstraklasa,Poland,67,luka elsner,Stade Municipal
DSC Arminia Bielefeld,2. Bundesliga,Germany,67,michel kniat,SchücoArena
Universitatea Cluj,Liga I,Romania,67,ioan ovidiu sabau,Stadion Hanguk
Górnik Zabrze,Ekstraklasa,Poland,67,michal gasparik,Waldstadion
Cultural Leonesa,La Liga 2,Spain,67,jose angel ziganda lacunza,Stadion Neder
Eintracht Braunschweig,2. Bundesliga,Germany,67,heiner backhaus,Euro Arena
Sint-Truidense VV,Belgian Pro League,Belgium,67,wouter vrancken,Court Lane
DC United,Major League Soccer,United States,67,rene weiler,Crown Lane
AIK,Allsvenskan,Sweden,67,mikkjal kjartansson thomassen,Waldstadion
FC Dallas,Major League Soccer,United States,67,eric quill,Crown Lane
IF Elfsborg,Allsvenskan,Sweden,67,oscar hiljemark,Stade Municipal
Pescara,Serie B,Italy,67,vincenzo vivarini,Stadion 23. Maj
Mjällby AIF,Allsvenskan,Sweden,67,christofer augustsson,Court Lane
Estrela da Amadora,Primeira Liga,Portugal,67,jose augusto goncalves pinto de almeida faria,Town Park
Wolfsberger AC,Bundesliga,Austria,67,dietmar didi kuhbauer,Euro Park
CD Castellón,La Liga 2,Spain,67,pablo hernandez dominguez,Estadio Nacional
CD Mirandés,La Liga 2,Spain,67,francisco rodriguez justo,Town Park
Avellino,Serie B,Italy,67,raffaele biancolino,Stadio Classico
Dynamo Dresden,2. Bundesliga,Germany,67,thomas stamm,Stadion Neder
FC Nordsjælland,Superliga,Denmark,67,jens fonsskov olsen,Stadion Neder
SS Juve Stabia,Serie B,Italy,67,ignazio abate,Arena del Centenario
Bolton Wanderers,EFL League One,England,66,steven schumacher,Sanderson Park
Al Fateh,Saudi Pro League,Saudi Arabia,66,jose manuel martins teixeira gomes,Stade Kokoto
1. FC Saarbrücken,3. Liga,Germany,66,alois schwartz,Stadion Neder
Grenoble Foot 38,Ligue 2 BKT,France,66,franck rizzetto,Stadion Neder
Silkeborg IF,Superliga,Denmark,66,kent nielsen,Court Lane
Odense Boldklub,Superliga,Denmark,66,alexander zorniger,Court Lane
Stade Lavallois Mayenne FC,Ligue 2 BKT,France,66,olivier frapolli,Town Park
FCV Dender EH,Belgian Pro League,Belgium,66,hayk milkon,Longville Stadium
Heracles Almelo,Eredivisie,Netherlands,66,bas sibum,Stadion Neder
FC Hansa Rostock,3. Liga,Germany,66,daniel brinkmann,Stadion Neder
TSV 1860 München,3. Liga,Germany,66,alper kayabunar,Town Park
ESTAC Troyes,Ligue 2 BKT,France,66,stephane dumont,Stadion Neder
Frosinone,Serie B,Italy,66,massimiliano alvini,Stadion Neder
Sporting Club Bastia,Ligue 2 BKT,France,66,benoit tavenot,Town Park
IFK Göteborg,Allsvenskan,Sweden,66,stefan billborn,Stadion Neder
FC Lausanne-Sport,Super League,Switzerland,66,peter zeidler,Stadion Neder
Sarpsborg 08 FF,Eliteserien,Norway,66,christian michelsen,Court Lane
Club Atlético San Martín,Primera División,Argentina,66,leandro atilio romagnoli,Arena del Centenario
AD Ceuta FC,La Liga 2,Spain,66,jose juan romero gil,Town Park
Shandong Taishan,Super League,China PR,66,kang hee choi,Stadion Hanguk
FC Andorra,La Liga 2,Spain,66,ibai gomez perez,Town Park
FC Zürich,Super League,Switzerland,66,mitchell van der gaag,Euro Arena
GKS Katowice,Ekstraklasa,Poland,66,rafal gorak,Oktigann Park
Blau-Weiß Linz,Bundesliga,Austria,66,mitja morec,Stadion Neder
Unión Española,Primera División,Chile,66,miguel mauricio ramirez perez,Stadion Neder
Blackpool FC,EFL League One,England,66,steve bruce,Molton Road
RAAL La Louvière,Belgian Pro League,Belgium,66,frederic taquin,Stadion Neder
Chengdu Rongcheng,Super League,China PR,66,jung won seo,Crown Lane
Plymouth Argyle,EFL League One,England,66,tom cleverley,Molton Road
Wycombe Wanderers,EFL League One,England,66,michael duff,Court Lane
Carabobo FC,Primera División,Venezuela,66,cesar marcano,Aloha Park
SV Zulte Waregem,Belgian Pro League,Belgium,66,sven vandenbroeck,Ivy Lane
Al Fayha,Saudi Pro League,Saudi Arabia,66,pedro emanuel dos santos martins silva,Stade Kokoto
Viborg FF,Superliga,Denmark,66,nickolai lund,Court Lane
Cienciano,Liga I,Peru,66,carlos alberto desio,O Dromo
Red Star FC,Ligue 2 BKT,France,66,gregory poirier,Stadion 23. Maj
FC Anyang,K League 1,Korea Republic,66,yeon gun kim,Euro Park
USL Dunkerque,Ligue 2 BKT,France,66,albert sanchez saura,Stadion 23. Maj
FC Sion,Super League,Switzerland,66,didier tholot,Court Lane
Excelsior,Eredivisie,Netherlands,66,ruben den uil,Court Lane
Mushuc Runa,Serie A,Ecuador,66,angel paul velez ordonez,Stade Municipal
Guaraní,División de Fútbol Profesional,Paraguay,66,victor bernay,Aloha Park
Boston River,Primera División,Uruguay,66,jadson viera castro,Arena del Centenario
Korona Kielce,Ekstraklasa,Poland,66,jacek zielinski,Stadion Neder
Piast Gliwice,Ekstraklasa,Poland,66,max molder,Molton Road
Radomiak Radom,Ekstraklasa,Poland,66,joao alexandre oliveira nunes henriques,Euro Park
Lechia Gdańsk,Ekstraklasa,Poland,66,john carver,Sanderson Park
Gangwon FC,K League 1,Korea Republic,66,kyung ho chung,Euro Arena
Club Olimpia,División de Fútbol Profesional,Paraguay,66,ever hugo almeida,Arena d'Oro
Motor Lublin,Ekstraklasa,Poland,66,mateusz stolarski,Stadion Neder
Virtus Entella,Serie B,Italy,66,andrea chiappella,Town Park
Reading FC,EFL League One,England,65,noel hunt,Molton Road
Rotherham United,EFL League One,England,65,matthew hamshaw,Molton Road
Milton Keynes Dons,EFL League Two,England,65,paul warne,Molton Road
Gimcheon Sangmu FC,K League 1,Korea Republic,65,ro mon yoo,Estadio de las Artes
Daegu FC,K League 1,Korea Republic,65,byung soo kim,Stadion Neder
Rot-Weiss Essen,3. Liga,Germany,65,uwe koschinat,Stadion Neder
Deportivo Riestra,Primera División,Argentina,65,gustavo oscar benitez,Aloha Park
Clermont Foot 63,Ligue 2 BKT,France,65,sebastien mazeyrat,Euro Park
Amiens SC,Ligue 2 BKT,France,65,omar daf,Stadion Neder
Wisła Płock,Ekstraklasa,Poland,65,mariusz misiura,Stadion Neder
CF Montréal,Major League Soccer,United States,65,marco donadel,Molton Road
FC Annecy,Ligue 2 BKT,France,65,laurent guyot,Euro Park
IK Sirius,Allsvenskan,Sweden,65,andreas engelmark,Town Park
Vejle Boldklub,Superliga,Denmark,65,ivan prelec,Molton Road
Motherwell FC,Scottish Premiership,Scotland,65,jens berthel askou,Ivy Lane
SSV Ulm 1846,3. Liga,Germany,65,robert lechleiter,Stadion 23. Maj
Wigan Athletic,EFL League One,England,65,ryan lowe,Ivy Lane
FC Volendam,Eredivisie,Netherlands,65,rick kruijs,Court Lane
Stockport County,EFL League One,England,65,dave challinor,Town Park
Barnsley,EFL League One,England,65,conor hourihane,Forest Park Stadium (Square Ground)
Caracas FC,Primera División,Venezuela,65,edgar fernando perez greco,Euro Arena
Al Riyadh,Saudi Pro League,Saudi Arabia,65,javier calleja revilla,Stade Kokoto
Deportes Iquique,Primera División,Chile,65,fernando maximiliano diaz seguel,Arena d'Oro
Lincoln City,EFL League One,England,65,michael skubala,Crown Lane
Vålerenga Fotball,Eliteserien,Norway,65,geir bakke,Ivy Lane
Strømsgodset IF,Eliteserien,Norway,65,dag eilev akkerhaugen fagermo,Court Lane
Auckland FC,A-League Men,Australia,65,,Euro Arena
Zagłębie Lubin,Ekstraklasa,Poland,65,leszek ojrzynski,Molton Road
UTA Arad,Liga I,Romania,65,adrian dumitru mihalcea,Stadion Neder
Sportivo Luqueño,División de Fútbol Profesional,Paraguay,65,andres anca,El Libertador
FC Botoşani,Liga I,Romania,65,leontin florian grozavu,Stadion 23. Maj
SC Rheindorf Altach,Bundesliga,Austria,65,fabio ingolitsch,Molton Road
FC Energie Cottbus,3. Liga,Germany,65,claus dieter wollitz,Court Lane
Tromsø IL,Eliteserien,Norway,65,jorgen vik,Town Park
Al Akhdoud Saudi Club,Saudi Pro League,Saudi Arabia,65,paulo sergio bento brito,Stade Kokoto
Atlético Grau,Liga I,Peru,65,mateo daniel ahmed rogers,Estadio Nacional
Suwon FC,K League 1,Korea Republic,65,eun jung kim,Stadion 23. Maj
FC Winterthur,Super League,Switzerland,65,ulrich forte,Town Park
FC Thun,Super League,Switzerland,65,mauro lustrinelli,Molton Road
Academia Puerto Cabello,Primera División,Venezuela,65,eduardo sarago,Arena del Centenario
Dundee United FC,Scottish Premiership,Scotland,65,jim goodwin,Court Lane
IFK Norrköping,Allsvenskan,Sweden,65,martin falk,Molton Road
Jeju United FC,K League 1,Korea Republic,65,hak bum kim,Estadio de las Artes
TSV Hartberg,Bundesliga,Austria,65,manfred schmid,Euro Park
FC Hermannstadt,Liga I,Romania,65,marius constantin maldarasanu,Stadion 23. Maj
VfL Osnabrück,3. Liga,Germany,65,timo schultz,Court Lane
Racing Club de Montevideo,Primera División,Uruguay,65,cristian rodolfo chambian aires,Arena del Centenario
SV Wehen Wiesbaden,3. Liga,Germany,65,nils doring,Stadion Neder
Oțelul Galați,Liga I,Romania,65,laszlo gyorgy balint,Stadion 23. Maj
Fredrikstad FK,Eliteserien,Norway,65,andreas hagen,Stadion Neder
Mohun Bagan Super Giant,Indian Super League,India,65,,O Dromo
FCV Farul Constanța,Liga I,Romania,65,ilie poenaru,Oktigann Park
Asociația Clubul Sportiv Petrolul 52,Liga I,Romania,65,eugen neagoe,Molton Road
SV Ried,Bundesliga,Austria,64,maximilian senft,Stadion Neder
Bradford City,EFL League One,England,64,graham alexander,Ivy Lane
Nacional Potosí,División de Fútbol Profesional,Bolivia,64,leonardo eguez,Stadio Classico
Telstar,Eredivisie,Netherlands,64,anthony correia,Longville Stadium
SSV Jahn Regensburg,3. Liga,Germany,64,michael wimmer,Molton Road
MSV Duisburg,3. Liga,Germany,64,dietmar hirsch,Waldstadion
Alemannia Aachen,3. Liga,Germany,64,benedetto muzzicato,Stade Municipal
Zhejiang FC,Super League,China PR,64,raul caneda perez,Stadion Olympik
Melbourne Victory,A-League Men,Australia,64,,Stade Municipal
Sydney FC,A-League Men,Australia,64,,Sanderson Park
Rodez Aveyron Football,Ligue 2 BKT,France,64,didier santini,Molton Road
Western Sydney Wanderers,A-League Men,Australia,64,,Waldstadion
Damac FC,Saudi Pro League,Saudi Arabia,64,armando evangelista macedo freitas,Stade Kokoto
Grasshopper Club Zürich,Super League,Switzerland,64,gerald scheiblehner,Euro Arena
Al Hazem FC,Saudi Pro League,Saudi Arabia,64,jalal qaderi,Stade Kokoto
Cerro Largo,Primera División,Uruguay,64,luis danielo nunez maciel,Arena del Centenario
Kilmarnock,Scottish Premiership,Scotland,64,stuart kettlewell,Ivy Lane
IF Brommapojkarna,Allsvenskan,Sweden,64,fredrik landen,Longville Stadium
Melbourne City FC,A-League Men,Australia,64,,Stade Municipal
Stevenage,EFL League One,England,64,alex revell,Town Park
Livingston FC,Scottish Premiership,Scotland,64,david martindale,Molton Road
Bruk-Bet Termalica Nieciecza,Ekstraklasa,Poland,64,marcin brosz,Town Park
Gwangju FC,K League 1,Korea Republic,64,chul jun ma,Town Park
FC Ingolstadt 04,3. Liga,Germany,64,sabrina wittmann,Stadion Neder
Port Vale,EFL League One,England,64,darren moore,Court Lane
Wuhan Three Towns,Super League,China PR,64,filipe goncalo pinto martins,Euro Arena
Exeter City,EFL League One,England,64,gary caldwell,Town Park
Peterborough United,EFL League One,England,64,darren ferguson,Court Lane
Mansfield Town,EFL League One,England,64,nigel clough,Court Lane
Al Kholood,Saudi Pro League,Saudi Arabia,64,des buckingham,Stade Kokoto
KFUM-Kameratene Oslo,Eliteserien,Norway,64,johannes moesgaard,Town Park
Leyton Orient,EFL League One,England,64,richard wellens,Court Lane
Sønderjyske Fodbold,Superliga,Denmark,64,thomas norgaard,Town Park
Al-Najma SC,Saudi Pro League,Saudi Arabia,64,mario fernando magalhaes da silva,Euro Park
WSG Tirol,Bundesliga,Austria,64,philipp semlic,Longville Stadium
SV Waldhof Mannheim,3. Liga,Germany,64,luc holtz,Stadion Neder
Le Mans FC,Ligue 2 BKT,France,64,patrick videira,Molton Road
San Antonio Bulo Bulo,División de Fútbol Profesional,Bolivia,64,pedro depablos,Arena d'Oro
Hamarkameratene,Eliteserien,Norway,64,thomas myhre,Stadion Neder
Sandefjord Fotball,Eliteserien,Norway,64,andreas tegstrom,Town Park
Grazer AK 1902,Bundesliga,Austria,64,ferdinand feldhofer,Stadion Neder
HJK Helsinki,Veikkausliiga,Finland,64,stevie grieve,Court Lane
Arka Gdynia,Ekstraklasa,Poland,64,dawid szwarga,Stadion Neder
GAIS,Allsvenskan,Sweden,64,fredrik holmberg,Stadion Neder
Pau FC,Ligue 2 BKT,France,64,nicolas usai,Longville Stadium
FC Erzgebirge Aue,3. Liga,Germany,64,jens hartel,Stadion Neder
IFK Värnamo,Allsvenskan,Sweden,64,jonas magnus thern,Euro Park
Salford City,EFL League Two,England,63,karl robinson,Town Park
AS Nancy Lorraine,Ligue 2 BKT,France,63,laurent guyot,Stade Municipal
Adelaide United,A-League Men,Australia,63,,Arena del Centenario
Perth Glory,A-League Men,Australia,63,,Forest Park Stadium (Square Ground)
Kristiansund BK,Eliteserien,Norway,63,amund robertsen skiri,Town Park
Viktoria Köln,3. Liga,Germany,63,marian wilhelm,Town Park
Halmstads BK,Allsvenskan,Sweden,63,magnus haglund,Town Park
1. FC Schweinfurt 05,3. Liga,Germany,63,victor kleinhenz,Euro Park
Östers IF,Allsvenskan,Sweden,63,robert bjorknesjo,Stadion Neder
Real Sociedad de Fútbol B,La Liga 2,Spain,63,ion ansotegi,Reale Arena
Unirea Slobozia,Liga I,Romania,63,adrian dumitru mihalcea,Oktigann Park
AFC Wimbledon,EFL League One,England,63,johnnie jackson,Molton Road
Chesterfield,EFL League Two,England,63,paul cook,Court Lane
Northampton Town,EFL League One,England,63,kevin nolan,Court Lane
Doncaster Rovers,EFL League One,England,63,grant mccann,Molton Road
Notts County,EFL League Two,England,63,martin paterson,Ivy Lane
FC Argeș,Liga I,Romania,63,bogdan ioan andone,Euro Park
Cambridge United,EFL League Two,England,63,neil harris,Town Park
Fredericia,Superliga,Denmark,63,michael hansen,Town Park
Tianjin Jinmen Tiger,Super League,China PR,63,genwei yu,Stadion Olympik
SC Verl,3. Liga,Germany,63,tobias strobl,Town Park
Burton Albion,EFL League One,England,63,gary bowyer,Town Park
Bristol Rovers,EFL League Two,England,63,darrell clarke,Court Lane
Dundee FC,Scottish Premiership,Scotland,63,steven pressley,Court Lane
FK Haugesund,Eliteserien,Norway,63,toni korkeakunnas,Town Park
St. Mirren,Scottish Premiership,Scotland,63,stephen robinson,Town Park
Yunnan Yukun,Super League,China PR,63,jorn andersen,Arena d'Oro
Dalian Yingbo,Super League,China PR,63,yujian liu,Stadion Olympik
Degerfors IF,Allsvenskan,Sweden,63,henok goitom,Town Park
Bryne FK,Eliteserien,Norway,63,kevin knappen,Euro Park
Gillingham,EFL League Two,England,62,gareth ainsworth,Court Lane
Walsall,EFL League Two,England,62,matthew sadler,Court Lane
US Boulogne Cote d'Opale,Ligue 2 BKT,France,62,fabien dagneaux,Crown Lane
Gualberto Villarroel SJ,División de Fútbol Profesional,Bolivia,62,david osvaldo medina aguirre,Arena d'Oro
Brisbane Roar,A-League Men,Australia,62,,Court Lane
Newcastle Jets,A-League Men,Australia,62,,Forest Park Stadium (Square Ground)
Crawley Town,EFL League Two,England,62,scott lindsey,Town Park
Shamrock Rovers,Irish Premier Division,Republic of Ireland,62,stephen bradley,Town Park
TSV Havelse,3. Liga,Germany,62,samir ferchichi,HDI-Arena
Grimsby Town,EFL League Two,England,62,david artell,Town Park
Qingdao Hainiu FC,Super League,China PR,62,xiaopeng li,Stadion Olympik
Western United,A-League Men,Australia,62,,Stade Municipal
Csíkszereda Miercurea Ciuc,Liga I,Romania,62,robert ilyes,Longville Stadium
Barrow,EFL League Two,England,62,andrew whing,Longville Stadium
Shrewsbury Town,EFL League Two,England,62,michael appleton,Court Lane
Fleetwood Town,EFL League Two,England,62,peter wild,Town Park
Barnet,EFL League Two,England,62,dean brennan,Town Park
Swindon Town,EFL League Two,England,62,ian holloway,Court Lane
Colchester United,EFL League Two,England,62,danny cowley,Court Lane
Cheltenham Town,EFL League Two,England,62,steve cotterill,Court Lane
FC Goa,Indian Super League,India,62,,O Dromo
Shenzhen Peng City,Super League,China PR,62,,Ivy Lane
Qingdao West Coast FC,Super League,China PR,62,jiayi shao,Stadio Classico
Henan FC,Super League,China PR,62,daniel antonio lopes ramos,Stadion Olympik
St Patrick's Athletic FC,Irish Premier Division,Republic of Ireland,62,sean oconnor,Town Park
Macarthur FC,A-League Men,Australia,62,,Arena d'Oro
Mohammedan SC,Indian Super League,India,61,,O Dromo
Central Coast Mariners,A-League Men,Australia,61,,Crown Lane
Shelbourne FC,Irish Premier Division,Republic of Ireland,61,joey obrien,Longville Stadium
Falkirk,Scottish Premiership,Scotland,61,john mcglynn,Court Lane
Harrogate Town,EFL League Two,England,61,simon weaver,Town Park
VfB Stuttgart II,3. Liga,Germany,61,nico willig,Euro Park
Metaloglobus București,Liga I,Romania,61,mihai teja,Longville Stadium
Crewe Alexandra,EFL League Two,England,61,lee bell,Court Lane
Bromley,EFL League Two,England,61,andy woodman,Town Park
NorthEast United,Indian Super League,India,61,,Stade Kokoto
Changchun Yatai,Super League,China PR,61,jose ricardo soares ribeiro,Euro Arena
Meizhou Hakka,Super League,China PR,61,qu gang,Stadion Olympik
Tranmere Rovers,EFL League Two,England,61,andy crosby,Ivy Lane
Bohemian FC,Irish Premier Division,Republic of Ireland,60,stephen odonnell,Town Park
TSG 1899 Hoffenheim II,3. Liga,Germany,60,stefan kleineheismann,Euro Park
Newport County,EFL League Two,England,60,david robert hughes,Town Park
Oldham Athletic,EFL League Two,England,60,micky mellon,Court Lane
Wellington Phoenix,A-League Men,Australia,60,,O Dromo
Derry City,Irish Premier Division,Republic of Ireland,60,tiernan lynch,Town Park
East Bengal FC,Indian Super League,India,59,,O Dromo
Drogheda United,Irish Premier Division,Republic of Ireland,59,kevin doherty,Longville Stadium
Sligo Rovers,Irish Premier Division,Republic of Ireland,59,ryan casey,Town Park
United Tigers SC,Indian Super League,India,59,,O Dromo
Mumbai City FC,Indian Super League,India,59,,Court Lane
Accrington Stanley,EFL League Two,England,59,john doolan,Town Park
Galway United,Irish Premier Division,Republic of Ireland,58,john caulfield,Town Park
Bengaluru FC,Indian Super League,India,58,,Arena d'Oro
Waterford FC,Irish Premier Division,Republic of Ireland,58,john coleman,Euro Arena
Jamshedpur FC,Indian Super League,India,58,,Arena d'Oro
Cork City,Irish Premier Division,Republic of Ireland,57,gerard nash,Town Park
Odisha FC,Indian Super League,India,56,,O Dromo
Chennaiyin FC,Indian Super League,India,56,,O Dromo
Kerala Blasters FC,Indian Super League,India,56,,O Dromo
Hyderabad FC,Indian Super League,India,55,,Euro Arena
Punjab FC,Indian Super League,India,52,,Stadion Olympik
