league_name,club,average_market_value,total_market_value,average_market_value_eur,total_market_value_eur,source_url
Belgian Pro League,Sint-Truidense VV,€1.12m,€29.13m,1120000.0,29130000.0,https://www.transfermarkt.com/jupiler-pro-league/startseite/wettbewerb/BE1
Belgian Pro League,FCV Dender EH,€766k,€19.15m,766000.0,19150000.0,https://www.transfermarkt.com/jupiler-pro-league/startseite/wettbewerb/BE1
Belgian Pro League,Zulte Waregem,€564k,€16.35m,564000.0,16350000.000000002,https://www.transfermarkt.com/jupiler-pro-league/startseite/wettbewerb/BE1
Belgian Pro League,RAAL La Louvière,€474k,€12.80m,474000.0,12800000.0,https://www.transfermarkt.com/jupiler-pro-league/startseite/wettbewerb/BE1
Bundesliga,Bayern Munich,€38.07m,€951.65m,38070000.0,951650000.0,https://www.transfermarkt.com/bundesliga/startseite/wettbewerb/L1
Bundesliga,Borussia Dortmund,€17.88m,€500.50m,17880000.0,500500000.0,https://www.transfermarkt.com/bundesliga/startseite/wettbewerb/L1
Bundesliga,Bayer 04 Leverkusen,€16.41m,€426.75m,16410000.0,426750000.0,https://www.transfermarkt.com/bundesliga/startseite/wettbewerb/L1
Bundesliga,Eintracht Frankfurt,€13.71m,€383.90m,13710000.0,383900000.0,https://www.transfermarkt.com/bundesliga/startseite/wettbewerb/L1
Bundesliga,RB Leipzig,€12.63m,€366.25m,12630000.0,366250000.0,https://www.transfermarkt.com/bundesliga/startseite/wettbewerb/L1
Bundesliga,VfB Stuttgart,€10.61m,€339.43m,10610000.0,339430000.0,https://www.transfermarkt.com/bundesliga/startseite/wettbewerb/L1
Bundesliga,VfL Wolfsburg,€8.69m,€251.90m,8690000.0,251900000.0,https://www.transfermarkt.com/bundesliga/startseite/wettbewerb/L1
Bundesliga,SV Werder Bremen,€5.74m,€177.80m,5740000.0,177800000.0,https://www.transfermarkt.com/bundesliga/startseite/wettbewerb/L1
Bundesliga,TSG 1899 Hoffenheim,€5.23m,€172.55m,5230000.0,172550000.0,https://www.transfermarkt.com/bundesliga/startseite/wettbewerb/L1
Bundesliga,SC Freiburg,€6.03m,€162.70m,6030000.0,162700000.0,https://www.transfermarkt.com/bundesliga/startseite/wettbewerb/L1
Bundesliga,1.FSV Mainz 05,€5.43m,€157.58m,5430000.0,157580000.0,https://www.transfermarkt.com/bundesliga/startseite/wettbewerb/L1
Bundesliga,Borussia Mönchengladbach,€5.14m,€154.18m,5140000.0,154180000.0,https://www.transfermarkt.com/bundesliga/startseite/wettbewerb/L1
Bundesliga,FC Augsburg,€5.22m,€151.38m,5220000.0,151380000.0,https://www.transfermarkt.com/bundesliga/startseite/wettbewerb/L1
Bundesliga,1.FC Union Berlin,€4.45m,€124.70m,4450000.0,124700000.0,https://www.transfermarkt.com/bundesliga/startseite/wettbewerb/L1
Bundesliga,Hamburger SV,€3.55m,€106.45m,3550000.0,106450000.0,https://www.transfermarkt.com/bundesliga/startseite/wettbewerb/L1
Bundesliga,1.FC Köln,€3.66m,€106.28m,3660000.0,106280000.0,https://www.transfermarkt.com/bundesliga/startseite/wettbewerb/L1
Bundesliga,FC St. Pauli,€2.21m,€64.08m,2210000.0,64080000.0,https://www.transfermarkt.com/bundesliga/startseite/wettbewerb/L1
Bundesliga,1.FC Heidenheim 1846,€2.10m,€56.80m,2100000.0,56800000.0,https://www.transfermarkt.com/bundesliga/startseite/wettbewerb/L1
Cypriot First Division,Pafos FC,€936k,€26.20m,936000.0,26200000.0,https://www.transfermarkt.com/1-division/startseite/wettbewerb/ZYP1
Cypriot First Division,Aris Limassol,€626k,€18.15m,626000.0,18150000.0,https://www.transfermarkt.com/1-division/startseite/wettbewerb/ZYP1
Cypriot First Division,Omonia Nicosia,€574k,€16.65m,574000.0,16649999.999999998,https://www.transfermarkt.com/1-division/startseite/wettbewerb/ZYP1
Cypriot First Division,APOEL Nicosia,€477k,€15.25m,477000.0,15250000.0,https://www.transfermarkt.com/1-division/startseite/wettbewerb/ZYP1
Cypriot First Division,Apollon Limassol,€523k,€14.13m,523000.0,14130000.0,https://www.transfermarkt.com/1-division/startseite/wettbewerb/ZYP1
Cypriot First Division,AEK Larnaca,€351k,€11.95m,351000.0,11950000.0,https://www.transfermarkt.com/1-division/startseite/wettbewerb/ZYP1
Cypriot First Division,AEL Limassol,€280k,€8.68m,280000.0,8680000.0,https://www.transfermarkt.com/1-division/startseite/wettbewerb/ZYP1
Cypriot First Division,Anorthosis Famagusta,€227k,€7.50m,227000.0,7500000.0,https://www.transfermarkt.com/1-division/startseite/wettbewerb/ZYP1
Cypriot First Division,Ethnikos Achnas,€197k,€5.53m,197000.0,5530000.0,https://www.transfermarkt.com/1-division/startseite/wettbewerb/ZYP1
Cypriot First Division,Omonia Aradippou,€159k,€4.78m,159000.0,4780000.0,https://www.transfermarkt.com/1-division/startseite/wettbewerb/ZYP1
Cypriot First Division,Krasava ENY,€148k,€4.30m,148000.0,4300000.0,https://www.transfermarkt.com/1-division/startseite/wettbewerb/ZYP1
Cypriot First Division,Akritas Chlorakas,€133k,€3.85m,133000.0,3850000.0,https://www.transfermarkt.com/1-division/startseite/wettbewerb/ZYP1
Cypriot First Division,Enosis Neon Paralimniou,€117k,€3.85m,117000.0,3850000.0,https://www.transfermarkt.com/1-division/startseite/wettbewerb/ZYP1
Cypriot First Division,Olympiakos Nicosia,€112k,€3.48m,112000.0,3480000.0,https://www.transfermarkt.com/1-division/startseite/wettbewerb/ZYP1
Czech First League,SK Slavia Prague,€3.55m,€106.58m,3550000.0,106580000.0,https://www.transfermarkt.com/1-fotbalova-liga/startseite/wettbewerb/TS1
Czech First League,AC Sparta Prague,€2.63m,€76.33m,2630000.0,76330000.0,https://www.transfermarkt.com/1-fotbalova-liga/startseite/wettbewerb/TS1
Czech First League,FC Viktoria Plzen,€2.01m,€52.23m,2009999.9999999998,52230000.0,https://www.transfermarkt.com/1-fotbalova-liga/startseite/wettbewerb/TS1
Czech First League,FC Banik Ostrava,€635k,€19.70m,635000.0,19700000.0,https://www.transfermarkt.com/1-fotbalova-liga/startseite/wettbewerb/TS1
Czech First League,SK Sigma Olomouc,€501k,€18.53m,501000.0,18530000.0,https://www.transfermarkt.com/1-fotbalova-liga/startseite/wettbewerb/TS1
Czech First League,FK Pardubice,€388k,€14.75m,388000.0,14750000.0,https://www.transfermarkt.com/1-fotbalova-liga/startseite/wettbewerb/TS1
Czech First League,FC Slovan Liberec,€483k,€13.53m,483000.0,13530000.0,https://www.transfermarkt.com/1-fotbalova-liga/startseite/wettbewerb/TS1
Czech First League,FC Hradec Kralove,€427k,€11.10m,427000.0,11100000.0,https://www.transfermarkt.com/1-fotbalova-liga/startseite/wettbewerb/TS1
Czech First League,FK Mlada Boleslav,€380k,€10.25m,380000.0,10250000.0,https://www.transfermarkt.com/1-fotbalova-liga/startseite/wettbewerb/TS1
Czech First League,FK Jablonec,€375k,€10.13m,375000.0,10130000.0,https://www.transfermarkt.com/1-fotbalova-liga/startseite/wettbewerb/TS1
Czech First League,MFK Karvina,€366k,€9.15m,366000.0,9150000.0,https://www.transfermarkt.com/1-fotbalova-liga/startseite/wettbewerb/TS1
Czech First League,FK Teplice,€276k,€8.83m,276000.0,8830000.0,https://www.transfermarkt.com/1-fotbalova-liga/startseite/wettbewerb/TS1
Czech First League,FK Dukla Prague,€258k,€7.75m,258000.0,7750000.0,https://www.transfermarkt.com/1-fotbalova-liga/startseite/wettbewerb/TS1
Czech First League,Bohemians Prague 1905,€266k,€7.18m,266000.0,7180000.0,https://www.transfermarkt.com/1-fotbalova-liga/startseite/wettbewerb/TS1
Czech First League,1.FC Slovacko,€246k,€6.16m,246000.0,6160000.0,https://www.transfermarkt.com/1-fotbalova-liga/startseite/wettbewerb/TS1
Czech First League,FC Zlin,€183k,€4.58m,183000.0,4580000.0,https://www.transfermarkt.com/1-fotbalova-liga/startseite/wettbewerb/TS1
División de Fútbol Profesional,Bolívar La Paz,276 K €,"7,45 mio. €",276000.0,,https://www.transfermarkt.fr/division-profesional-apertura/startseite/wettbewerb/BO1A
División de Fútbol Profesional,Club Always Ready,295 K €,"7,38 mio. €",295000.0,,https://www.transfermarkt.fr/division-profesional-apertura/startseite/wettbewerb/BO1A
